raceId;round;name
1;1;Australian Grand Prix
2;2;Malaysian Grand Prix
3;3;Chinese Grand Prix
4;4;Bahrain Grand Prix
5;5;Spanish Grand Prix
6;6;Monaco Grand Prix
7;7;Turkish Grand Prix
8;8;British Grand Prix
9;9;German Grand Prix
10;10;Hungarian Grand Prix
11;11;European Grand Prix
12;12;Belgian Grand Prix
13;13;Italian Grand Prix
14;14;Singapore Grand Prix
15;15;Japanese Grand Prix
16;16;Brazilian Grand Prix
17;17;Abu Dhabi Grand Prix
18;1;Australian Grand Prix
19;2;Malaysian Grand Prix
20;3;Bahrain Grand Prix
21;4;Spanish Grand Prix
22;5;Turkish Grand Prix
23;6;Monaco Grand Prix
24;7;Canadian Grand Prix
25;8;French Grand Prix
26;9;British Grand Prix
27;10;German Grand Prix
28;11;Hungarian Grand Prix
29;12;European Grand Prix
30;13;Belgian Grand Prix
31;14;Italian Grand Prix
32;15;Singapore Grand Prix
33;16;Japanese Grand Prix
34;17;Chinese Grand Prix
35;18;Brazilian Grand Prix
36;1;Australian Grand Prix
37;2;Malaysian Grand Prix
38;3;Bahrain Grand Prix
39;4;Spanish Grand Prix
40;5;Monaco Grand Prix
41;6;Canadian Grand Prix
42;7;United States Grand Prix
43;8;French Grand Prix
44;9;British Grand Prix
45;10;European Grand Prix
46;11;Hungarian Grand Prix
47;12;Turkish Grand Prix
48;13;Italian Grand Prix
49;14;Belgian Grand Prix
50;15;Japanese Grand Prix
51;16;Chinese Grand Prix
52;17;Brazilian Grand Prix
53;1;Bahrain Grand Prix
54;2;Malaysian Grand Prix
55;3;Australian Grand Prix
56;4;San Marino Grand Prix
57;5;European Grand Prix
58;6;Spanish Grand Prix
59;7;Monaco Grand Prix
60;8;British Grand Prix
61;9;Canadian Grand Prix
62;10;United States Grand Prix
63;11;French Grand Prix
64;12;German Grand Prix
65;13;Hungarian Grand Prix
66;14;Turkish Grand Prix
67;15;Italian Grand Prix
68;16;Chinese Grand Prix
69;17;Japanese Grand Prix
70;18;Brazilian Grand Prix
71;1;Australian Grand Prix
72;2;Malaysian Grand Prix
73;3;Bahrain Grand Prix
74;4;San Marino Grand Prix
75;5;Spanish Grand Prix
76;6;Monaco Grand Prix
77;7;European Grand Prix
78;8;Canadian Grand Prix
79;9;United States Grand Prix
80;10;French Grand Prix
81;11;British Grand Prix
82;12;German Grand Prix
83;13;Hungarian Grand Prix
84;14;Turkish Grand Prix
85;15;Italian Grand Prix
86;16;Belgian Grand Prix
87;17;Brazilian Grand Prix
88;18;Japanese Grand Prix
89;19;Chinese Grand Prix
90;1;Australian Grand Prix
91;2;Malaysian Grand Prix
92;3;Bahrain Grand Prix
93;4;San Marino Grand Prix
94;5;Spanish Grand Prix
95;6;Monaco Grand Prix
96;7;European Grand Prix
97;8;Canadian Grand Prix
98;9;United States Grand Prix
99;10;French Grand Prix
100;11;British Grand Prix
101;12;German Grand Prix
102;13;Hungarian Grand Prix
103;14;Belgian Grand Prix
104;15;Italian Grand Prix
105;16;Chinese Grand Prix
106;17;Japanese Grand Prix
107;18;Brazilian Grand Prix
108;1;Australian Grand Prix
109;2;Malaysian Grand Prix
110;3;Brazilian Grand Prix
111;4;San Marino Grand Prix
112;5;Spanish Grand Prix
113;6;Austrian Grand Prix
114;7;Monaco Grand Prix
115;8;Canadian Grand Prix
116;9;European Grand Prix
117;10;French Grand Prix
118;11;British Grand Prix
119;12;German Grand Prix
120;13;Hungarian Grand Prix
121;14;Italian Grand Prix
122;15;United States Grand Prix
123;16;Japanese Grand Prix
124;1;Australian Grand Prix
125;2;Malaysian Grand Prix
126;3;Brazilian Grand Prix
127;4;San Marino Grand Prix
128;5;Spanish Grand Prix
129;6;Austrian Grand Prix
130;7;Monaco Grand Prix
131;8;Canadian Grand Prix
132;9;European Grand Prix
133;10;British Grand Prix
134;11;French Grand Prix
135;12;German Grand Prix
136;13;Hungarian Grand Prix
137;14;Belgian Grand Prix
138;15;Italian Grand Prix
139;16;United States Grand Prix
140;17;Japanese Grand Prix
141;1;Australian Grand Prix
142;2;Malaysian Grand Prix
143;3;Brazilian Grand Prix
144;4;San Marino Grand Prix
145;5;Spanish Grand Prix
146;6;Austrian Grand Prix
147;7;Monaco Grand Prix
148;8;Canadian Grand Prix
149;9;European Grand Prix
150;10;French Grand Prix
151;11;British Grand Prix
152;12;German Grand Prix
153;13;Hungarian Grand Prix
154;14;Belgian Grand Prix
155;15;Italian Grand Prix
156;16;United States Grand Prix
157;17;Japanese Grand Prix
158;1;Australian Grand Prix
159;2;Brazilian Grand Prix
160;3;San Marino Grand Prix
161;4;British Grand Prix
162;5;Spanish Grand Prix
163;6;European Grand Prix
164;7;Monaco Grand Prix
165;8;Canadian Grand Prix
166;9;French Grand Prix
167;10;Austrian Grand Prix
168;11;German Grand Prix
169;12;Hungarian Grand Prix
170;13;Belgian Grand Prix
171;14;Italian Grand Prix
172;15;United States Grand Prix
173;16;Japanese Grand Prix
174;17;Malaysian Grand Prix
175;1;Australian Grand Prix
176;2;Brazilian Grand Prix
177;3;San Marino Grand Prix
178;4;Monaco Grand Prix
179;5;Spanish Grand Prix
180;6;Canadian Grand Prix
181;7;French Grand Prix
182;8;British Grand Prix
183;9;Austrian Grand Prix
184;10;German Grand Prix
185;11;Hungarian Grand Prix
186;12;Belgian Grand Prix
187;13;Italian Grand Prix
188;14;European Grand Prix
189;15;Malaysian Grand Prix
190;16;Japanese Grand Prix
191;1;Australian Grand Prix
192;2;Brazilian Grand Prix
193;3;Argentine Grand Prix
194;4;San Marino Grand Prix
195;5;Spanish Grand Prix
196;6;Monaco Grand Prix
197;7;Canadian Grand Prix
198;8;French Grand Prix
199;9;British Grand Prix
200;10;Austrian Grand Prix
201;11;German Grand Prix
202;12;Hungarian Grand Prix
203;13;Belgian Grand Prix
204;14;Italian Grand Prix
205;15;Luxembourg Grand Prix
206;16;Japanese Grand Prix
207;1;Australian Grand Prix
208;2;Brazilian Grand Prix
209;3;Argentine Grand Prix
210;4;San Marino Grand Prix
211;5;Monaco Grand Prix
212;6;Spanish Grand Prix
213;7;Canadian Grand Prix
214;8;French Grand Prix
215;9;British Grand Prix
216;10;German Grand Prix
217;11;Hungarian Grand Prix
218;12;Belgian Grand Prix
219;13;Italian Grand Prix
220;14;Austrian Grand Prix
221;15;Luxembourg Grand Prix
222;16;Japanese Grand Prix
223;17;European Grand Prix
224;1;Australian Grand Prix
225;2;Brazilian Grand Prix
226;3;Argentine Grand Prix
227;4;European Grand Prix
228;5;San Marino Grand Prix
229;6;Monaco Grand Prix
230;7;Spanish Grand Prix
231;8;Canadian Grand Prix
232;9;French Grand Prix
233;10;British Grand Prix
234;11;German Grand Prix
235;12;Hungarian Grand Prix
236;13;Belgian Grand Prix
237;14;Italian Grand Prix
238;15;Portuguese Grand Prix
239;16;Japanese Grand Prix
240;1;Brazilian Grand Prix
241;2;Argentine Grand Prix
242;3;San Marino Grand Prix
243;4;Spanish Grand Prix
244;5;Monaco Grand Prix
245;6;Canadian Grand Prix
246;7;French Grand Prix
247;8;British Grand Prix
248;9;German Grand Prix
249;10;Hungarian Grand Prix
250;11;Belgian Grand Prix
251;12;Italian Grand Prix
252;13;Portuguese Grand Prix
253;14;European Grand Prix
254;15;Pacific Grand Prix
255;16;Japanese Grand Prix
256;17;Australian Grand Prix
257;1;Brazilian Grand Prix
258;2;Pacific Grand Prix
259;3;San Marino Grand Prix
260;4;Monaco Grand Prix
261;5;Spanish Grand Prix
262;6;Canadian Grand Prix
263;7;French Grand Prix
264;8;British Grand Prix
265;9;German Grand Prix
266;10;Hungarian Grand Prix
267;11;Belgian Grand Prix
268;12;Italian Grand Prix
269;13;Portuguese Grand Prix
270;14;European Grand Prix
271;15;Japanese Grand Prix
272;16;Australian Grand Prix
273;1;South African Grand Prix
274;2;Brazilian Grand Prix
275;3;European Grand Prix
276;4;San Marino Grand Prix
277;5;Spanish Grand Prix
278;6;Monaco Grand Prix
279;7;Canadian Grand Prix
280;8;French Grand Prix
281;9;British Grand Prix
282;10;German Grand Prix
283;11;Hungarian Grand Prix
284;12;Belgian Grand Prix
285;13;Italian Grand Prix
286;14;Portuguese Grand Prix
287;15;Japanese Grand Prix
288;16;Australian Grand Prix
289;1;South African Grand Prix
290;2;Mexican Grand Prix
291;3;Brazilian Grand Prix
292;4;Spanish Grand Prix
293;5;San Marino Grand Prix
294;6;Monaco Grand Prix
295;7;Canadian Grand Prix
296;8;French Grand Prix
297;9;British Grand Prix
298;10;German Grand Prix
299;11;Hungarian Grand Prix
300;12;Belgian Grand Prix
301;13;Italian Grand Prix
302;14;Portuguese Grand Prix
303;15;Japanese Grand Prix
304;16;Australian Grand Prix
305;1;United States Grand Prix
306;2;Brazilian Grand Prix
307;3;San Marino Grand Prix
308;4;Monaco Grand Prix
309;5;Canadian Grand Prix
310;6;Mexican Grand Prix
311;7;French Grand Prix
312;8;British Grand Prix
313;9;German Grand Prix
314;10;Hungarian Grand Prix
315;11;Belgian Grand Prix
316;12;Italian Grand Prix
317;13;Portuguese Grand Prix
318;14;Spanish Grand Prix
319;15;Japanese Grand Prix
320;16;Australian Grand Prix
321;1;United States Grand Prix
322;2;Brazilian Grand Prix
323;3;San Marino Grand Prix
324;4;Monaco Grand Prix
325;5;Canadian Grand Prix
326;6;Mexican Grand Prix
327;7;French Grand Prix
328;8;British Grand Prix
329;9;German Grand Prix
330;10;Hungarian Grand Prix
331;11;Belgian Grand Prix
332;12;Italian Grand Prix
333;13;Portuguese Grand Prix
334;14;Spanish Grand Prix
335;15;Japanese Grand Prix
336;16;Australian Grand Prix
337;1;Bahrain Grand Prix
338;2;Australian Grand Prix
339;3;Malaysian Grand Prix
340;4;Chinese Grand Prix
341;5;Spanish Grand Prix
342;6;Monaco Grand Prix
343;7;Turkish Grand Prix
344;8;Canadian Grand Prix
345;9;European Grand Prix
346;10;British Grand Prix
347;11;German Grand Prix
348;12;Hungarian Grand Prix
349;13;Belgian Grand Prix
350;14;Italian Grand Prix
351;15;Singapore Grand Prix
352;16;Japanese Grand Prix
353;17;Korean Grand Prix
354;18;Brazilian Grand Prix
355;19;Abu Dhabi Grand Prix
356;1;Brazilian Grand Prix
357;2;San Marino Grand Prix
358;3;Monaco Grand Prix
359;4;Mexican Grand Prix
360;5;United States Grand Prix
361;6;Canadian Grand Prix
362;7;French Grand Prix
363;8;British Grand Prix
364;9;German Grand Prix
365;10;Hungarian Grand Prix
366;11;Belgian Grand Prix
367;12;Italian Grand Prix
368;13;Portuguese Grand Prix
369;14;Spanish Grand Prix
370;15;Japanese Grand Prix
371;16;Australian Grand Prix
372;1;Brazilian Grand Prix
373;2;San Marino Grand Prix
374;3;Monaco Grand Prix
375;4;Mexican Grand Prix
376;5;Canadian Grand Prix
377;6;Detroit Grand Prix
378;7;French Grand Prix
379;8;British Grand Prix
380;9;German Grand Prix
381;10;Hungarian Grand Prix
382;11;Belgian Grand Prix
383;12;Italian Grand Prix
384;13;Portuguese Grand Prix
385;14;Spanish Grand Prix
386;15;Japanese Grand Prix
387;16;Australian Grand Prix
388;1;Brazilian Grand Prix
389;2;San Marino Grand Prix
390;3;Belgian Grand Prix
391;4;Monaco Grand Prix
392;5;Detroit Grand Prix
393;6;French Grand Prix
394;7;British Grand Prix
395;8;German Grand Prix
396;9;Hungarian Grand Prix
397;10;Austrian Grand Prix
398;11;Italian Grand Prix
399;12;Portuguese Grand Prix
400;13;Spanish Grand Prix
401;14;Mexican Grand Prix
402;15;Japanese Grand Prix
403;16;Australian Grand Prix
404;1;Brazilian Grand Prix
405;2;Spanish Grand Prix
406;3;San Marino Grand Prix
407;4;Monaco Grand Prix
408;5;Belgian Grand Prix
409;6;Canadian Grand Prix
410;7;Detroit Grand Prix
411;8;French Grand Prix
412;9;British Grand Prix
413;10;German Grand Prix
414;11;Hungarian Grand Prix
415;12;Austrian Grand Prix
416;13;Italian Grand Prix
417;14;Portuguese Grand Prix
418;15;Mexican Grand Prix
419;16;Australian Grand Prix
420;1;Brazilian Grand Prix
421;2;Portuguese Grand Prix
422;3;San Marino Grand Prix
423;4;Monaco Grand Prix
424;5;Canadian Grand Prix
425;6;Detroit Grand Prix
426;7;French Grand Prix
427;8;British Grand Prix
428;9;German Grand Prix
429;10;Austrian Grand Prix
430;11;Dutch Grand Prix
431;12;Italian Grand Prix
432;13;Belgian Grand Prix
433;14;European Grand Prix
434;15;South African Grand Prix
435;16;Australian Grand Prix
436;1;Brazilian Grand Prix
437;2;South African Grand Prix
438;3;Belgian Grand Prix
439;4;San Marino Grand Prix
440;5;French Grand Prix
441;6;Monaco Grand Prix
442;7;Canadian Grand Prix
443;8;Detroit Grand Prix
444;9;Dallas Grand Prix
445;10;British Grand Prix
446;11;German Grand Prix
447;12;Austrian Grand Prix
448;13;Dutch Grand Prix
449;14;Italian Grand Prix
450;15;European Grand Prix
451;16;Portuguese Grand Prix
452;1;Brazilian Grand Prix
453;2;United States Grand Prix West
454;3;French Grand Prix
455;4;San Marino Grand Prix
456;5;Monaco Grand Prix
457;6;Belgian Grand Prix
458;7;Detroit Grand Prix
459;8;Canadian Grand Prix
460;9;British Grand Prix
461;10;German Grand Prix
462;11;Austrian Grand Prix
463;12;Dutch Grand Prix
464;13;Italian Grand Prix
465;14;European Grand Prix
466;15;South African Grand Prix
467;1;South African Grand Prix
468;2;Brazilian Grand Prix
469;3;United States Grand Prix West
470;4;San Marino Grand Prix
471;5;Belgian Grand Prix
472;6;Monaco Grand Prix
473;7;Detroit Grand Prix
474;8;Canadian Grand Prix
475;9;Dutch Grand Prix
476;10;British Grand Prix
477;11;French Grand Prix
478;12;German Grand Prix
479;13;Austrian Grand Prix
480;14;Swiss Grand Prix
481;15;Italian Grand Prix
482;16;Caesars Palace Grand Prix
483;1;United States Grand Prix West
484;2;Brazilian Grand Prix
485;3;Argentine Grand Prix
486;4;San Marino Grand Prix
487;5;Belgian Grand Prix
488;6;Monaco Grand Prix
489;7;Spanish Grand Prix
490;8;French Grand Prix
491;9;British Grand Prix
492;10;German Grand Prix
493;11;Austrian Grand Prix
494;12;Dutch Grand Prix
495;13;Italian Grand Prix
496;14;Canadian Grand Prix
497;15;Caesars Palace Grand Prix
498;1;Argentine Grand Prix
499;2;Brazilian Grand Prix
500;3;South African Grand Prix
501;4;United States Grand Prix West
502;5;Belgian Grand Prix
503;6;Monaco Grand Prix
504;7;French Grand Prix
505;8;British Grand Prix
506;9;German Grand Prix
507;10;Austrian Grand Prix
508;11;Dutch Grand Prix
509;12;Italian Grand Prix
510;13;Canadian Grand Prix
511;14;United States Grand Prix
512;1;Argentine Grand Prix
513;2;Brazilian Grand Prix
514;3;South African Grand Prix
515;4;United States Grand Prix West
516;5;Spanish Grand Prix
517;6;Belgian Grand Prix
518;7;Monaco Grand Prix
519;8;French Grand Prix
520;9;British Grand Prix
521;10;German Grand Prix
522;11;Austrian Grand Prix
523;12;Dutch Grand Prix
524;13;Italian Grand Prix
525;14;Canadian Grand Prix
526;15;United States Grand Prix
527;1;Argentine Grand Prix
528;2;Brazilian Grand Prix
529;3;South African Grand Prix
530;4;United States Grand Prix West
531;5;Monaco Grand Prix
532;6;Belgian Grand Prix
533;7;Spanish Grand Prix
534;8;Swedish Grand Prix
535;9;French Grand Prix
536;10;British Grand Prix
537;11;German Grand Prix
538;12;Austrian Grand Prix
